date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:58:31	118149/118149	---M--	200	added ('OK')	image/jpeg	etag:%221cd85-4f6c594a9f880%22	http://www.model-based-enterprise.org/images/Level-3.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-3.jpg	(from http://www.model-based-enterprise.org/capability-level-3.html)
16:58:42	97580/97580	---M--	200	added ('OK')	application/pdf	etag:%2217d2c-4f74313fc1640%22	http://www.model-based-enterprise.org/Docs/MBE-Level3.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level3.pdf	(from http://www.model-based-enterprise.org/capability-level-3.html)
16:58:47	103304/103304	---M--	200	added ('OK')	image/jpeg	etag:%2219388-4f6c5949ab640%22	http://www.model-based-enterprise.org/images/Level-2.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-2.jpg	(from http://www.model-based-enterprise.org/capability-level-2.html)
16:59:03	107831/107831	---M--	200	added ('OK')	application/pdf	etag:%221a537-4f74313914680%22	http://www.model-based-enterprise.org/Docs/MBE-Level2.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level2.pdf	(from http://www.model-based-enterprise.org/capability-level-2.html)
16:59:05	107038/107038	---M--	200	added ('OK')	image/jpeg	etag:%221a21e-4f6c5948b7400%22	http://www.model-based-enterprise.org/images/Level-1.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-1.jpg	(from http://www.model-based-enterprise.org/capability-level-1.html)
16:59:21	107069/107069	---M--	200	added ('OK')	application/pdf	etag:%221a23d-4f743132676c0%22	http://www.model-based-enterprise.org/Docs/MBE-Level1.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level1.pdf	(from http://www.model-based-enterprise.org/capability-level-1.html)
16:59:21	93654/93654	---M--	200	added ('OK')	image/jpeg	etag:%2216dd6-4f6c5948b7400%22	http://www.model-based-enterprise.org/images/Level-0.jpg	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/images/Level-0.jpg	(from http://www.model-based-enterprise.org/capability-level-0.html)
16:59:32	217/217	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Jun%202016%2008:59:32%20GMT	http://www.model-based-enterprise.org/mbe-assessment-tool	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/mbe-assessment-tool.135.delayed	(from http://www.model-based-enterprise.org/standard-operating-procedures.html)
16:59:48	106791/106791	---M--	200	added ('OK')	application/pdf	etag:%221a127-4f74312ac64c0%22	http://www.model-based-enterprise.org/Docs/MBE-Level0.pdf	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/MBE-Level0.pdf	(from http://www.model-based-enterprise.org/capability-level-0.html)
17:01:38	642074/642074	---M--	200	added ('OK')	application/pdf	etag:%229cc1a-4faa1ef9460c0%22	http://www.model-based-enterprise.org/Docs/SOP-Arbortext-Hyperlinks-between-ITEMs-DIST-A.pdf?ArticleID=2005	E:/_MY%20PRO/WebSites/MBE%20copy/model-based%20enterprise/www.model-based-enterprise.org/Docs/SOP-Arbortext-Hyperlinks-between-ITEMs-DIST-A7958.pdf	(from http://www.model-based-enterprise.org/standard-operating-procedures.html)
